instance,population_size,generations,crossover_rate,mutation_rate,elite_size,tournament_size,stagnation,seed,threads,initial_value,best_value,total_weight,optimal_value,difference,gap_percent,stop_generation,elapsed_s
n_1000_1,80,500,0.9500,0.0050,3,5,50,12,16,9999826005,9999827189,9999821700,9999946233,119044,0.001190,478,0.6837
n_1000_1,80,500,0.9500,0.0050,3,5,50,202,16,9999826150,9999827115,9999821678,9999946233,119118,0.001191,415,0.5665
n_1000_1,80,500,0.9500,0.0050,3,5,100,4,16,9999826041,9999827173,9999821739,9999946233,119060,0.001191,500,0.6947
n_1000_1,80,500,0.9500,0.0050,3,5,100,12,16,9999826005,9999827189,9999821700,9999946233,119044,0.001190,500,0.7068
n_1000_1,80,500,0.9500,0.0050,3,5,100,202,16,9999826150,9999827146,9999821795,9999946233,119087,0.001191,500,0.6807
n_1000_1,80,500,0.9500,0.0050,5,3,50,4,16,9999826041,9999827020,9999821592,9999946233,119213,0.001192,468,0.6442
n_1000_1,80,500,0.9500,0.0050,5,3,50,12,16,9999826005,9999827047,9999821470,9999946233,119186,0.001192,386,0.5315
n_1000_1,80,500,0.9500,0.0050,5,3,50,202,16,9999826150,9999827089,9999821431,9999946233,119144,0.001191,309,0.4088
n_1000_1,80,500,0.9500,0.0050,5,3,100,4,16,9999826041,9999827020,9999821592,9999946233,119213,0.001192,500,0.6867
n_1000_1,80,500,0.9500,0.0050,5,3,100,12,16,9999826005,9999827047,9999821470,9999946233,119186,0.001192,436,0.5956
n_1000_1,80,500,0.9500,0.0050,5,3,100,202,16,9999826150,9999827097,9999821486,9999946233,119136,0.001191,412,0.5556
n_1000_1,80,500,0.9500,0.0050,5,5,50,4,16,9999826041,9999827064,9999821628,9999946233,119169,0.001192,416,0.5611
n_1000_1,80,500,0.9500,0.0050,5,5,50,12,16,9999826005,9999827176,9999821763,9999946233,119057,0.001191,429,0.5836
n_1000_1,80,500,0.9500,0.0050,5,5,50,202,16,9999826150,9999827171,9999821716,9999946233,119062,0.001191,354,0.4854
n_1000_1,80,500,0.9500,0.0050,5,5,100,4,16,9999826041,9999827080,9999821667,9999946233,119153,0.001192,500,0.6541
n_1000_1,80,500,0.9500,0.0050,5,5,100,12,16,9999826005,9999827194,9999821844,9999946233,119039,0.001190,500,0.7034
n_1000_1,80,500,0.9500,0.0050,5,5,100,202,16,9999826150,9999827183,9999821713,9999946233,119050,0.001191,490,0.6793
n_1000_1,80,500,0.9500,0.0100,3,3,50,4,16,9999826041,9999826913,9999821042,9999946233,119320,0.001193,386,0.5499
n_1000_1,80,500,0.9500,0.0100,3,3,50,12,16,9999826005,9999827007,9999821266,9999946233,119226,0.001192,313,0.4412
n_1000_1,80,500,0.9500,0.0100,3,3,50,202,16,9999826150,9999826945,9999821274,9999946233,119288,0.001193,281,0.4072
n_1000_1,80,500,0.9500,0.0100,3,3,100,4,16,9999826041,9999826913,9999821042,9999946233,119320,0.001193,436,0.6218
n_1000_1,80,500,0.9500,0.0100,3,3,100,12,16,9999826005,9999827007,9999821266,9999946233,119226,0.001192,363,0.5121
n_1000_1,80,500,0.9500,0.0100,3,3,100,202,16,9999826150,9999827023,9999821247,9999946233,119210,0.001192,500,0.7155
